                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         1            1            1   Low         CmpMngr::CmpMngr                                               |   ../UCC_old/src/CmpMngr.cpp
         1            1            1   Low         CmpMngr::CmpMngr                                               |   ../UCC_old/src/CmpMngr.cpp
         5            5            5   Low         void CmpMngr::Compare                                          |   ../UCC_old/src/CmpMngr.cpp
        20           25           20   Medium      void CmpMngr::FindModifiedLines                                |   ../UCC_old/src/CmpMngr.cpp
         9           10            9   Low         void CmpMngr::FindUnmodifiedLines                              |   ../UCC_old/src/CmpMngr.cpp
         7            8            7   Low         bool CmpMngr::SimilarLine                                      |   ../UCC_old/src/CmpMngr.cpp
         4            4            4   Low         void CmpMngr::fill_source_code_vec                             |   ../UCC_old/src/CmpMngr.cpp
         3            3            3   Low         void CmpMngr::print_info                                       |   ../UCC_old/src/CmpMngr.cpp
         1            1            1   Low         bool compare_code_line_pair                                    |   ../UCC_old/src/CmpMngr.cpp
         1            1            1   Low         base_file_line_num                                             |   ../UCC_old/src/CmpMngr.cpp
         1            1            1   Low         comp_file_line_num                                             |   ../UCC_old/src/CmpMngr.cpp
         4            4            4   Low         LinesPair::LinesPair                                           |   ../UCC_old/src/CmpMngrHtml.cpp
         1            1            1   Low         ifstream&FilePairComparisonData::OpenOriginalFile              |   ../UCC_old/src/CmpMngrHtml.cpp
         1            1            1   Low         ifstream&FilePairComparisonData::OpenPairedFile                |   ../UCC_old/src/CmpMngrHtml.cpp
         2            2            2   Low         int FilePairComparisonData::FindOriginalLineType               |   ../UCC_old/src/CmpMngrHtml.cpp
         2            2            2   Low         int FilePairComparisonData::FindPairedLineType                 |   ../UCC_old/src/CmpMngrHtml.cpp
         1            1            1   Low         ,html_stream                                                   |   ../UCC_old/src/CmpMngrHtml.cpp
         5            6            5   Low         void CmpMngrHtml::PrintFileSetAsHtml                           |   ../UCC_old/src/CmpMngrHtml.cpp
        11           13           11   Medium      EVAL_STATUS CmpMngrHtml::FillMapData                           |   ../UCC_old/src/CmpMngrHtml.cpp
         2            2            2   Low         void CmpMngrHtml::PrintOriginalFileAsHtml                      |   ../UCC_old/src/CmpMngrHtml.cpp
         2            2            2   Low         void CmpMngrHtml::PrintPairedFileAsHtml                        |   ../UCC_old/src/CmpMngrHtml.cpp
         2            2            2   Low         void CmpMngrHtml::PrintHtmlLine                                |   ../UCC_old/src/CmpMngrHtml.cpp
         7            7            3   Low         string CmpMngrHtml::EscapeHtml                                 |   ../UCC_old/src/CmpMngrHtml.cpp
         1            1            1   Low         CNeXtMidasCounter::CNeXtMidasCounter                           |   ../UCC_old/src/CNeXtMidasCounter.cpp
         1            1            1   Low         CPascalCounter::CPascalCounter                                 |   ../UCC_old/src/CPascalCounter.cpp
        40           45           37   High        int CPascalCounter::CountCommentsSLOC                          |   ../UCC_old/src/CPascalCounter.cpp
         5            5            5   Low         int CPascalCounter::LanguageSpecificProcess                    |   ../UCC_old/src/CPascalCounter.cpp
        53           67           53   Very High   void CPascalCounter::LSLOC                                     |   ../UCC_old/src/CPascalCounter.cpp
